-4.4	0.3
-4.2	0.28
-4	0.27
-3.8	0.25
-3.6	0.24
-3.4	0.23
-3.2	0.21
-3	0.2
-2.8	0.18
-2.6	0.17
-2.4	0.16
-2.2	0.14
-2	0.13
-1.8	0.12
-1.6	0.1
-1.4	0.09
-1.2	0.08
-1	0.06
-0.8	0.05
-0.6	0.04
-0.4	0.02
-0.2	0.01
0	0
0.2	-0.01
0.4	-0.02
0.6	-0.04
0.8	-0.05
1	-0.06
1.2	-0.07
1.4	-0.08
1.6	-0.09
1.8	-0.11
2	-0.12
2.2	-0.13
2.4	-0.14
2.6	-0.15
2.8	-0.16
3	-0.17
3.2	-0.18
3.4	-0.19
3.6	-0.2
3.8	-0.21
4	-0.22
4.2	-0.23
4.4	-0.24
4.6	-0.25
4.8	-0.26
5	-0.27
5.2	-0.28
5.4	-0.29
5.6	-0.3
5.8	-0.31
6	-0.32
6.2	-0.33
6.4	-0.34
6.6	-0.35
6.8	-0.36
7	-0.37
7.2	-0.38
7.4	-0.39
7.6	-0.4
7.8	-0.41
8	-0.42
8.2	-0.43
8.4	-0.44
8.6	-0.45
8.8	-0.46
9	-0.47
9.2	-0.48
9.4	-0.49
9.6	-0.5
9.8	-0.51
10	-0.52
10.2	-0.53
10.4	-0.54
10.6	-0.55
10.8	-0.56
11	-0.57
11.2	-0.58
11.4	-0.59
11.6	-0.6
11.8	-0.61
12	-0.62
12.2	-0.63
12.4	-0.64
12.6	-0.65
12.8	-0.66
13	-0.67
13.2	-0.68
13.4	-0.69
13.6	-0.7
13.8	-0.71
14	-0.72
14.2	-0.73
14.4	-0.74
14.6	-0.75
14.8	-0.76
15	-0.77
15.2	-0.78
15.4	-0.79
15.6	-0.8
15.8	-0.81
16	-0.82
16.2	-0.83
16.4	-0.84
16.6	-0.85
16.8	-0.86
17	-0.87
17.2	-0.88
17.4	-0.89
17.6	-0.9
17.8	-0.91
18	-0.92
18.2	-0.93
18.4	-0.94
18.6	-0.95
18.8	-0.96
19	-0.97
19.2	-0.98
19.4	-0.99
19.6	-1
19.8	-1.01
20	-1.02
20.2	-1.03
20.4	-1.04
20.6	-1.05
20.8	-1.06
21	-1.07
21.2	-1.08
21.4	-1.09
21.6	-1.1
21.8	-1.11
22	-1.12
22.2	-1.13
22.4	-1.14
22.6	-1.15
22.8	-1.16
23	-1.17
23.2	-1.18
23.4	-1.19
23.6	-1.2
23.8	-1.21
24	-1.22
24.2	-1.23
24.4	-1.24
24.6	-1.25
24.8	-1.26
25	-1.27
25.2	-1.28
25.4	-1.29
25.6	-1.3
25.8	-1.31
26	-1.32
26.2	-1.33
26.4	-1.34
26.6	-1.35
26.8	-1.36
27	-1.37
27.2	-1.38
27.4	-1.39
27.6	-1.4
27.8	-1.41
28	-1.42
28.2	-1.43
28.4	-1.44
28.6	-1.45
