mileage_m,normal_force_N,penetration_m,rail_irregularity_m,iterations
5.749999999999999556e-02,7.000000000000002910e+04,4.000000000000003038e-05,0.000000000000000000e+00,1.000000000000000000e+00
5.999999999999999778e-02,7.000000000000002910e+04,4.000000000000003038e-05,0.000000000000000000e+00,1.000000000000000000e+00
6.249999999999999306e-02,7.000000000000002910e+04,4.000000000000003038e-05,0.000000000000000000e+00,1.000000000000000000e+00
6.499999999999998834e-02,7.000000000000000000e+04,4.000000000000002360e-05,0.000000000000000000e+00,1.000000000000000000e+00
6.749999999999997669e-02,6.999999999999998545e+04,4.000000000000001682e-05,0.000000000000000000e+00,1.000000000000000000e+00
6.999999999999997891e-02,6.999999999999997090e+04,4.000000000000001005e-05,0.000000000000000000e+00,1.000000000000000000e+00
7.249999999999996725e-02,6.999999999999997090e+04,4.000000000000001005e-05,0.000000000000000000e+00,1.000000000000000000e+00
7.499999999999996947e-02,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,1.000000000000000000e+00
7.749999999999995781e-02,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,1.000000000000000000e+00
7.999999999999996003e-02,6.999999999999992724e+04,3.999999999999999650e-05,0.000000000000000000e+00,1.000000000000000000e+00
8.249999999999996225e-02,6.999999999999992724e+04,3.999999999999999650e-05,0.000000000000000000e+00,1.000000000000000000e+00
8.499999999999995060e-02,6.999999999999992724e+04,3.999999999999999650e-05,0.000000000000000000e+00,1.000000000000000000e+00
8.749999999999995282e-02,6.999999999999992724e+04,3.999999999999999650e-05,0.000000000000000000e+00,1.000000000000000000e+00
8.999999999999994116e-02,6.999999999999992724e+04,3.999999999999999650e-05,0.000000000000000000e+00,1.000000000000000000e+00
9.249999999999994338e-02,6.999999999999992724e+04,3.999999999999999650e-05,0.000000000000000000e+00,1.000000000000000000e+00
9.499999999999993172e-02,6.999999999999992724e+04,3.999999999999999650e-05,0.000000000000000000e+00,1.000000000000000000e+00
9.749999999999993394e-02,6.999999999999992724e+04,3.999999999999999650e-05,0.000000000000000000e+00,1.000000000000000000e+00
9.999999999999993616e-02,6.999999999999997090e+04,4.000000000000001005e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.024999999999999384e-01,6.999999999999997090e+04,4.000000000000001005e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.049999999999999545e-01,6.999999999999998545e+04,4.000000000000001682e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.074999999999999567e-01,7.000000000000000000e+04,4.000000000000002360e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.099999999999999589e-01,7.000000000000000000e+04,4.000000000000002360e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.124999999999999750e-01,7.000000000000004366e+04,4.000000000000003715e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.149999999999999772e-01,7.000000000000004366e+04,4.000000000000003715e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.174999999999999795e-01,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.199999999999999956e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.224999999999999978e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.275000000000000022e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000044e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.325000000000000344e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.350000000000000366e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.375000000000000389e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000411e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.425000000000000433e-01,7.000000000000007276e+04,4.000000000000005071e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.450000000000000455e-01,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.475000000000000755e-01,7.000000000000004366e+04,4.000000000000003715e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000777e-01,7.000000000000007276e+04,4.000000000000005071e-05,1.961926030129855275e-20,1.000000000000000000e+00
1.525000000000000799e-01,7.153276290059025632e+04,4.058179921259495178e-05,5.888972363860492598e-07,1.400000000000000000e+01
1.550000000000000822e-01,7.301814202178569394e+04,4.114166055095566719e-05,1.176886435917694696e-06,1.300000000000000000e+01
1.575000000000000844e-01,7.440669643759504834e+04,4.166160335879976417e-05,1.763060961867585836e-06,1.300000000000000000e+01
1.600000000000000866e-01,7.564780644027104427e+04,4.212360427482145448e-05,2.346516975603484461e-06,1.200000000000000000e+01
1.625000000000000888e-01,7.669469330890955462e+04,4.251134458186710903e-05,2.926354830241945531e-06,1.200000000000000000e+01
1.650000000000001188e-01,7.750733479107440508e+04,4.281111116888240909e-05,3.501680457838609221e-06,1.100000000000000000e+01
1.675000000000001210e-01,7.805440097590933146e+04,4.301232262916662881e-05,4.071606747976142077e-06,1.100000000000000000e+01
1.700000000000001232e-01,7.831467086962092435e+04,4.310788504242451933e-05,4.635254915624239929e-06,1.000000000000000000e+01
1.725000000000001255e-01,7.827798496099087060e+04,4.309442161843770398e-05,5.191755856162423603e-06,8.000000000000000000e+00
1.750000000000001277e-01,7.794567767557119078e+04,4.297237162119629382e-05,5.740251485476376412e-06,1.000000000000000000e+01
1.775000000000001299e-01,7.733044007142052578e+04,4.274594793312042464e-05,6.279896063061449293e-06,1.100000000000000000e+01
1.800000000000001599e-01,7.645561408353371371e+04,4.242295196359317436e-05,6.809857496093236082e-06,1.200000000000000000e+01
