63 	0.150 	70.366 
57 	0.150 	68.681 
74 	0.150 	75.042 
68 	0.150 	72.719 
32 	0.150 	61.256 
38 	0.150 	62.915 
30 	0.150 	60.538 
19 	0.150 	58.733 
65 	0.150 	71.608 
28 	0.150 	59.844 
59 	0.150 	69.051 
586 	0.500 	138.650 
29 	0.150 	60.189 
53 	0.150 	67.241 
34 	0.150 	62.117 
77 	0.141 	76.733 
236 	0.050 	103.300 
324 	0.416 	109.070 
444 	0.500 	124.250 
46 	0.150 	64.682 
24 	0.150 	59.284 
619 	0.500 	143.340 
33 	0.150 	61.786 
21 	0.150 	58.916 
72 	0.150 	74.019 
50 	0.150 	65.839 
26 	0.150 	59.513 
448 	0.500 	125.070 
86 	0.124 	80.204 
472 	0.500 	129.690 
130 	0.050 	99.534 
133 	0.050 	100.840 
42 	0.150 	63.809 
88 	0.111 	82.726 
253 	0.050 	103.970 
106 	0.066 	91.754 
23 	0.150 	59.111 
67 	0.150 	72.522 
100 	0.084 	88.257 
299 	0.249 	107.210 
429 	0.500 	121.740 
467 	0.500 	128.800 
460 	0.500 	127.070 
55 	0.150 	67.812 
95 	0.098 	85.499 
354 	0.500 	111.670 
132 	0.050 	100.720 
550 	0.500 	134.230 
41 	0.150 	63.806 
295 	0.221 	106.900 
52 	0.150 	66.660 
127 	0.050 	99.363 
427 	0.500 	121.490 
115 	0.050 	95.356 
64 	0.150 	70.575 
273 	0.065 	105.170 
83 	0.132 	78.616 
122 	0.050 	98.496 
285 	0.148 	106.090 
180 	0.050 	101.930 
31 	0.150 	61.136 
451 	0.500 	125.530 
16 	0.150 	56.269 
7 	0.150 	51.399 
382 	0.500 	114.860 
49 	0.150 	65.792 
123 	0.050 	98.562 
199 	0.050 	102.180 
346 	0.500 	110.870 
10 	0.150 	52.956 
720 	0.500 	158.900 
364 	0.500 	112.830 
78 	0.140 	77.009 
291 	0.186 	106.510 
18 	0.150 	58.540 
137 	0.050 	101.600 
284 	0.145 	106.060 
66 	0.150 	71.858 
549 	0.500 	134.110 
716 	0.500 	158.390 
398 	0.500 	117.120 
402 	0.500 	117.780 
15 	0.150 	56.255 
655 	0.500 	148.930 
577 	0.500 	137.600 
682 	0.500 	152.910 
752 	0.500 	165.140 
27 	0.150 	59.570 
372 	0.500 	113.700 
514 	0.500 	131.890 
692 	0.500 	154.590 
687 	0.500 	153.760 
108 	0.058 	93.379 
392 	0.500 	116.340 
431 	0.500 	122.040 
546 	0.500 	133.970 
762 	0.500 	166.850 
465 	0.500 	128.160 
424 	0.500 	120.920 
76 	0.142 	76.632 
94 	0.100 	85.089 
